,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp
124,0.163,31,0,31.5,1612812691.55353
125,0.163,30.5,0,31.5,1612812692.60889
126,0.163,30.5,0,31.5,1612812693.67281
127,0.163,30.5,0,31.5,1612812694.73696
128,0.163,30.5,0,31.5,1612812695.79953
129,0.163,30.5,0,31.5,1612812696.85727
130,0.163,30.5,0,31,1612812697.91326
131,0.163,31,0,31.5,1612812698.9731
132,0.163,30.5,0,31.5,1612812700.02845
133,0.163,30.5,0,31.5,1612812701.08465
134,0.163,30.5,0,31.5,1612812702.14029
135,0.163,30.5,0,31.5,1612812703.1999
136,0.203,30.5,0,31.5,1612812704.26042
137,0.163,30.5,0,31.5,1612812705.31713
138,0.163,30.5,0,31,1612812706.37855
139,0.163,30.5,0,31.5,1612812707.43144
140,0.163,30.5,0,31.5,1612812708.49216
141,0.163,30,0,31.5,1612812709.55231
142,0.163,30.5,0,31.5,1612812710.61126
143,0.163,31,0,31.5,1612812711.67553
144,0.163,30.5,0,31.5,1612812712.73607
145,0.163,30.5,0,31.5,1612812713.79207
146,0.163,30.5,0,31.5,1612812714.84912
147,0.163,30.5,0,31.5,1612812715.90888
148,0.163,30.5,0,31.5,1612812716.97184
149,0.163,30.5,0,31,1612812718.0286
150,0.163,30,0,31,1612812719.08804
151,0.203,31,0.04,29,1612812720.14494
152,0.163,30.5,0,31.5,1612812721.20092
153,0.203,30.5,0,31,1612812722.25181
154,0.163,30.5,0,31,1612812723.30788
155,0.163,30.5,0,31,1612812724.36456
156,0.163,30.5,0,31,1612812725.42075
157,0.163,30.5,0,31,1612812726.48057
158,0.163,30,0,31,1612812727.53589
159,0.163,30,0,31,1612812728.59346
160,0.204,30.5,0,31,1612812729.65537
161,0.163,30,0,31.5,1612812730.71375
162,0.163,30,0,31.5,1612812731.7729
163,0.163,30,0,31,1612812732.83424
164,0.163,30,0,31,1612812733.89224
165,0.163,30.5,0,31,1612812734.95685
166,0.163,30,0,31.5,1612812736.01307
167,0.163,30,0,31,1612812737.0752
168,0.163,30,0,31.5,1612812738.13497
169,0.163,30,0,31.5,1612812739.19316
170,0.203,30,0,31,1612812740.24727
171,0.163,30.5,0,31.5,1612812741.30519
172,0.163,30,0,31,1612812742.36089
173,0.163,30.5,0,31.5,1612812743.42093
174,0.163,30.5,0,31,1612812744.47617
175,0.163,30,0,31.5,1612812745.53433
176,0.163,30.5,0,31,1612812746.5914
177,0.163,30,0,31,1612812747.64857
178,0.163,30.5,0,31,1612812748.70543
179,0.163,30,0,31.5,1612812749.7636
180,0.163,30.5,0,31.5,1612812750.81939
181,0.163,30,0,31.5,1612812751.87554
182,0.163,30.5,0,31.5,1612812752.93484
183,0.163,30.5,0,31.5,1612812753.99618
184,0.163,30,0,31.5,1612812755.05028
185,0.163,30,0,31.5,1612812756.10865
186,0.163,30,0,31,1612812757.16493
187,0.163,30,0,31,1612812758.22493
188,0.163,30,0,31,1612812759.28375
189,0.163,30,0,31.5,1612812760.34432
190,0.163,30.5,0,31,1612812761.40098
191,0.163,30.5,0,31,1612812762.46082
192,0.163,30,0,31,1612812763.51914
193,0.163,30.5,0,31.5,1612812764.58062
194,0.163,30.5,0,31,1612812765.6399
195,0.163,30.5,0,31,1612812766.69731
196,0.163,30.5,0,31,1612812767.75962
197,0.163,30.5,0,31,1612812768.82018
198,0.163,30.5,0,31,1612812769.8754
199,0.163,30.5,0,31,1612812770.93415
200,0.163,30.5,0,31,1612812771.99424
201,0.163,30.5,0,31,1612812773.05201
202,0.163,30.5,0,31.5,1612812774.11045
203,0.163,30.5,0,31,1612812775.16751
204,0.163,30.5,0,31,1612812776.22159
205,0.163,31,0,31,1612812777.27908
206,0.163,30,0,31,1612812778.34846
207,0.163,30.5,0,31,1612812779.40793
208,0.163,30.5,0.04,29.5,1612812780.46396
209,0.163,30.5,0,31.5,1612812781.52166
210,0.163,30.5,0,31.5,1612812782.58617
211,0.163,30,0,31,1612812783.64331
212,0.163,30.5,0,31.5,1612812784.70084
213,0.163,30.5,0,31.5,1612812785.76221
214,0.163,30,0,31.5,1612812786.81895
215,0.163,30,0,31.5,1612812787.87676
216,0.163,30.5,0,31.5,1612812788.9319
217,0.163,30,0,31.5,1612812789.98996
218,0.163,30,0,31,1612812791.04852
219,0.163,30,0,31.5,1612812792.10526
220,0.163,30,0,31.5,1612812793.16353
221,0.163,30.5,0,31.5,1612812794.21821
222,0.163,30,0,31,1612812795.27653
223,0.163,30,0,31.5,1612812796.33155
224,0.163,30,0,31.5,1612812797.39306
225,0.163,30.5,0,31.5,1612812798.44866
226,0.163,30,0,31.5,1612812799.50484
227,0.163,30,0,31,1612812800.56124
228,0.163,30.5,0,31.5,1612812801.62156
229,0.163,30,0,31.5,1612812802.68108
230,0.163,30,0,31.5,1612812803.74029
231,0.163,30.5,0,31,1612812804.79768
232,0.163,30,0,31,1612812805.85486
233,0.163,30,0,32,1612812806.91631
234,0.163,30.5,0,31.5,1612812807.97326
235,0.163,30,0,31,1612812809.02773
236,0.163,30,0,31,1612812810.09289
237,0.163,30,0,31,1612812811.14794
238,0.163,30.5,0,31.5,1612812812.20503
239,0.163,30.5,0,31,1612812813.26094
240,0.163,30.5,0,31,1612812814.32121
241,0.163,30,0,31,1612812815.38027
242,0.163,30.5,0,31,1612812816.43646
243,0.163,30,0,31.5,1612812817.49619
244,0.204,30,0,31,1612812818.55061
245,0.163,30,0,31.5,1612812819.60777
246,0.163,30,0,31,1612812820.66758
247,0.163,30,0,31,1612812821.72402
248,0.122,30,0,31.5,1612812822.7798
249,0.163,30.5,0,31,1612812823.83716
250,0.163,30,0,31.5,1612812824.89301
251,0.163,30,0,31,1612812825.95235
252,0.163,30.5,0,31.5,1612812827.00691
253,0.163,30,0,31.5,1612812828.07038
254,0.163,30.5,0,31,1612812829.12809
255,0.244,30.5,0,31,1612812830.17947
256,0.163,30,0,31,1612812831.23699
257,0.163,30,0,31,1612812832.29448
258,0.204,30,0,31,1612812833.35544
259,0.163,30.5,0,31,1612812834.41251
260,0.163,30.5,0,31,1612812835.46841
261,0.163,30.5,0,31,1612812836.53261
262,0.163,30,0,31,1612812837.58853
263,0.163,30,0,31,1612812838.64629
264,0.163,30,0,31.5,1612812839.7085
265,0.163,30,0,31.5,1612812840.76549
266,0.163,30,0,31,1612812841.82731
267,0.163,30,0,31,1612812842.88651
268,0.163,30,0,31.5,1612812843.94111
269,0.163,30.5,0,31,1612812845.00049
270,0.163,30,0,31.5,1612812846.05913
271,0.163,30.5,0,31,1612812847.11558
272,0.163,30,0,31,1612812848.17946
273,0.163,30,0,31,1612812849.23769
274,0.163,30,0,31.5,1612812850.29756
275,0.163,30,0,31,1612812851.35404
276,0.163,30,0,31,1612812852.4174
277,0.163,29.5,0,31,1612812853.47192
278,0.163,30.5,0,31,1612812854.52961
279,0.163,30,0,31,1612812855.59291
280,0.163,30.5,0,31,1612812856.65309
281,0.163,30,0,31,1612812857.71135
282,0.163,30,0,31,1612812858.76989
283,0.163,30,0,31,1612812859.83306
284,0.163,30,0,31,1612812860.88471
285,0.163,30.5,0,31,1612812861.94103
286,0.163,29.5,0,31,1612812862.99921
287,0.163,30.5,0,30.5,1612812864.06146
288,0.163,30,0,31,1612812865.11636
289,0.163,30,0,31,1612812866.17139
290,0.163,30,0,31,1612812867.22883
291,0.163,30,0,31,1612812868.28286
292,0.163,30,0,31,1612812869.33987
293,0.163,30,0,31,1612812870.40457
294,0.163,30,0,31,1612812871.46043
295,0.163,30,0,31,1612812872.51489
296,0.931,31,0.162,29.5,1612812873.55208
297,0.931,31,0.162,29.5,1612812874.58987
298,0.931,31,0.162,30,1612812875.62747
299,0.931,30.5,0.162,29.5,1612812876.66499
300,0.891,31,0.162,29.5,1612812877.70269
301,0.891,31,0.162,29.5,1612812878.74056
302,0.891,31,0.162,29.5,1612812879.77789
303,0.931,31,0.161,29.5,1612812880.81531
304,0.891,31,0.162,29.5,1612812881.85355
305,0.891,31,0.162,29.5,1612812882.89133
306,1.053,30.5,0.081,29.5,1612812883.93109
307,0.972,31,0.283,29.5,1612812884.96999
308,0.164,30,0,31,1612812886.02718
309,0.164,30,0.04,29.5,1612812887.08891
310,0.164,30,0.04,29.5,1612812888.15251
311,0.164,29.5,0.04,29,1612812889.21256
312,0.327,30,0.163,29,1612812890.2525
313,0.164,30,0.04,29,1612812891.31612
314,0.164,30,0.04,29,1612812892.3828
315,0.205,30,0,29.5,1612812893.4289
316,0.164,30,0,31,1612812894.48855
317,0.164,30,0.04,29,1612812895.54285
318,0.164,30,0.04,29,1612812896.60563
319,0.164,30,0.04,29,1612812897.67235
320,0.163,29.5,0.122,29,1612812898.7308
321,0.164,30,0.04,29,1612812899.78812
322,0.164,30,0.04,29,1612812900.84593
323,0.286,30,0.081,29,1612812901.88509
324,0.164,30,0,31,1612812902.94125
325,0.164,30,0.04,29,1612812903.9977
326,0.164,30,0.04,28.5,1612812905.056
327,0.164,30,0.04,28.5,1612812906.11483
328,0.163,30,0.081,28.5,1612812907.17837
329,0.164,30,0.04,29,1612812908.23487
330,0.164,30,0.04,28.5,1612812909.29718
331,0.245,30,0.122,28.5,1612812910.34989
332,0.205,29.5,0,31,1612812911.40728
333,0.164,29.5,0,28.5,1612812912.46505
334,0.164,29.5,0.04,28.5,1612812913.52507
335,0.164,29.5,0.04,28.5,1612812914.59001
336,0.164,30,0.081,28.5,1612812915.64467
337,0.164,29.5,0.04,28.5,1612812916.70237
338,0.164,29.5,0.04,28.5,1612812917.76711
339,0.163,30,0.081,28.5,1612812918.82804
340,0.164,30,0,31,1612812919.88745
341,0.164,29.5,0,30.5,1612812920.94443
342,0.164,30,0.04,28.5,1612812921.99964
343,0.164,29.5,0.04,28.5,1612812923.05698
344,0.164,30,0.04,29,1612812924.11571
345,0.204,30,0.122,28.5,1612812925.16386
346,0.164,29.5,0.04,28.5,1612812926.23937
347,0.164,29.5,0.04,28.5,1612812927.30042
348,0.205,29.5,0.081,28.5,1612812928.3565
349,0.205,30,0,30.5,1612812929.41487
350,0.164,29.5,0.04,28,1612812930.47378
351,0.164,29.5,0.04,28.5,1612812931.53084
352,0.164,29.5,0.04,28,1612812932.59614
353,0.204,29,0.122,28.5,1612812933.66427
354,0.164,29,0.04,28,1612812934.7389
355,0.164,30,0.04,28,1612812935.79688
356,0.204,29.5,0.122,28.5,1612812936.84662
357,0.164,29,0,30,1612812937.89762
358,0.205,30,0,30,1612812938.96334
359,0.164,29.5,0.04,28.5,1612812940.02264
360,0.164,29.5,0.04,28,1612812941.07692
361,0.164,29,0.081,28,1612812942.13413
362,0.164,29,0.04,28,1612812943.1912
363,0.164,29,0.04,28.5,1612812944.25571
364,0.204,29,0.081,28,1612812945.31311
365,0.164,29,0,30.5,1612812946.36882
366,0.205,29,0,30.5,1612812947.42749
367,0.164,29,0.04,28,1612812948.4878
368,0.164,29.5,0.04,28,1612812949.54309
369,0.164,29,0.04,28.5,1612812950.60918
370,0.204,29,0.163,28,1612812951.657
371,0.164,29.5,0.04,28,1612812952.71638
372,0.164,29,0.081,28.5,1612812953.7729
373,0.164,29,0.04,28,1612812954.82897
374,0.205,29,0,30,1612812955.88457
375,0.164,29,0.04,28,1612812956.94108
376,0.164,29,0.04,28,1612812958.00508
377,0.164,29,0.04,28,1612812959.07301
378,0.204,29,0.122,28,1612812960.1251
379,0.164,29,0.04,28,1612812961.18327
380,0.164,28.5,0.04,28,1612812962.23872
381,0.286,29,0.081,28,1612812963.27755
382,0.164,28.5,0,29.5,1612812964.33636
383,0.164,29,0.04,28,1612812965.40124
384,0.164,29,0.04,28,1612812966.45688
385,0.164,28.5,0.04,27.5,1612812967.51802
386,0.204,28.5,0.081,28,1612812968.57144
387,0.164,28.5,0.04,28,1612812969.62852
388,0.164,28.5,0.04,28,1612812970.68769
389,0.245,28.5,0.122,28,1612812971.74561
390,0.164,29,0,30,1612812972.80256
391,0.164,29,0.04,27.5,1612812973.86598
392,0.164,28.5,0.04,28,1612812974.93246
393,0.164,28.5,0.04,28,1612812975.99216
394,0.164,29,0.081,27.5,1612812977.05197
395,0.164,29,0.04,28,1612812978.11158
396,0.164,28.5,0.04,27.5,1612812979.17424
397,0.204,28.5,0.081,27.5,1612812980.22366
398,0.164,29,0,29.5,1612812981.27944
399,0.164,28.5,0,29.5,1612812982.33208
400,0.164,28.5,0.04,28,1612812983.39315
401,0.164,28.5,0.04,27.5,1612812984.454
402,0.164,28.5,0.04,27.5,1612812985.50886
403,0.245,28,0.122,27.5,1612812986.56805
404,0.164,28.5,0.04,27.5,1612812987.63347
405,0.164,28.5,0.081,27.5,1612812988.69171
406,0.164,28.5,0,27.5,1612812989.74802
407,0.164,28.5,0,29,1612812990.80901
408,0.164,28.5,0.04,27.5,1612812991.87641
409,0.164,28.5,0.04,27.5,1612812992.93618
410,0.164,29,0.04,27.5,1612812993.99068
411,0.204,28.5,0.122,27.5,1612812995.05027
412,0.164,28.5,0.04,27.5,1612812996.11149
413,0.164,28,0.04,27,1612812997.17217
414,0.328,28.5,0.081,27.5,1612812998.21607
415,0.164,28.5,0,29.5,1612812999.27369
416,0.164,28,0.041,27.5,1612813000.32648
417,0.164,28.5,0.041,27.5,1612813001.38462
418,0.164,28,0.041,27.5,1612813002.44207
419,0.164,28.5,0.081,27.5,1612813003.50571
420,0.164,28.5,0.041,27,1612813004.55595
421,0.164,28,0.041,27.5,1612813005.616
422,0.328,28.5,0.081,27.5,1612813006.65644
423,0.164,28,0,29,1612813007.7254
424,0.164,28,0.041,27.5,1612813008.78741
425,0.164,28,0.041,27.5,1612813009.84734
426,0.164,28.5,0.041,27,1612813010.90957
427,0.164,28,0.082,27.5,1612813011.9718
428,0.164,28,0.041,27.5,1612813013.03199
429,0.164,28.5,0.041,27.5,1612813014.08798
430,0.205,28,0.122,27,1612813015.14538
431,0.164,28,0,29.5,1612813016.19812
432,0.164,28,0.041,29.5,1612813017.25715
433,0.164,28.5,0.041,27.5,1612813018.31271
434,0.164,28,0.041,27,1612813019.37271
435,0.205,28,0.082,27.5,1612813020.43487
436,0.164,28,0.081,27.5,1612813021.49197
437,0.205,28,0.04,27,1612813022.54881
438,0.205,28,0.081,27,1612813023.60661
439,0.164,28,0,29,1612813024.66314
440,0.164,28,0,29,1612813025.71938
441,0.164,28,0.041,27.5,1612813026.77658
442,0.164,28,0.041,27,1612813027.83725
443,0.164,28.5,0.041,27,1612813028.89348
444,0.205,28,0.122,27,1612813029.94849
445,0.164,28,0.041,27,1612813031.01397
446,0.164,28,0.082,27,1612813032.06859
447,0.164,28,0,27,1612813033.12933
448,0.164,28,0,29,1612813034.18909
449,0.164,28,0.041,26.5,1612813035.24666
450,0.164,28,0.041,26.5,1612813036.30317
451,0.164,28,0.041,27,1612813037.3706
452,0.205,28,0.122,27,1612813038.43629
453,0.164,27.5,0.041,27,1612813039.49947
454,0.205,28,0.04,27,1612813040.54488
455,0.287,28,0.081,27,1612813041.59286
456,0.164,28,0,29,1612813042.65215
457,0.164,27.5,0.041,27,1612813043.71105
458,0.164,27.5,0.041,27,1612813044.77222
459,0.164,28,0.041,27,1612813045.8282
460,0.164,28,0.122,26.5,1612813046.88341
461,0.164,28,0.041,27,1612813047.95074
462,0.164,28,0.041,27,1612813049.01212
