,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
263,0.359,47.5,3.947,46.5,1617814923.6050062,7.216
264,0.396,48.5,4.627,47.5,1617814924.651573,7.883
265,1.451,47.5,2.616,47.0,1617814925.6965678,6.631
266,0.401,48.0,3.731,47.0,1617814926.7426918,6.942
267,0.397,48.5,4.642,48.0,1617814927.7896156,7.962
268,0.396,49.0,4.714,47.5,1617814928.8362432,7.962
269,0.787,45.5,0.0,46.0,1617814929.8935351,3.643
270,1.424,46.0,0.732,45.0,1617814930.944972,4.843
271,0.361,48.0,3.531,47.0,1617814931.9917407,6.54
272,0.355,49.0,4.77,48.0,1617814933.0423508,8.003
273,0.356,49.0,4.714,48.0,1617814934.0931296,8.095
274,0.359,47.5,3.474,47.5,1617814935.147321,7.16
275,0.36,49.0,4.113,48.0,1617814936.1949656,7.268
276,0.317,49.5,4.753,48.5,1617814937.2450309,7.962
277,1.638,47.0,0.327,46.0,1617814938.308425,4.907
278,0.747,45.5,0.0,46.0,1617814939.3558333,3.72
279,0.553,49.0,4.257,48.5,1617814940.4014325,7.924
280,0.398,49.0,4.02,47.5,1617814941.4494524,7.273
281,0.394,50.0,4.652,48.5,1617814942.4971507,8.068
282,1.811,48.0,1.574,47.0,1617814943.5690086,5.905
283,0.362,48.5,3.542,48.0,1617814944.6141624,6.631
284,0.356,50.0,4.785,49.0,1617814945.664454,8.095
285,0.316,50.0,4.857,49.0,1617814946.7137227,8.134
286,0.95,46.0,0.041,46.5,1617814947.7646408,3.602
287,1.232,48.0,0.0,47.0,1617814948.8273208,4.721
288,0.441,48.0,3.525,48.0,1617814949.8723066,6.61
289,0.395,49.5,4.501,48.5,1617814950.9198627,7.818
290,0.47,50.5,4.935,49.0,1617814951.968019,8.513
291,0.398,50.0,4.404,49.0,1617814953.0131981,7.804
292,0.4,49.0,3.947,48.5,1617814954.0616078,7.296
293,0.396,51.0,4.667,49.0,1617814955.1099496,8.095
294,0.848,49.0,2.143,47.5,1617814956.1642253,5.945
295,0.789,46.5,0.0,46.5,1617814957.217976,3.679
296,0.479,48.5,3.468,48.0,1617814958.2670877,6.778
297,0.358,50.0,4.133,48.5,1617814959.3124585,7.273
298,0.394,50.0,4.605,49.0,1617814960.3596003,7.95
299,0.36,50.0,4.193,49.0,1617814961.4076993,7.268
300,0.401,49.5,3.525,48.5,1617814962.4532685,6.861
301,0.359,50.5,4.378,49.0,1617814963.4978101,7.591
302,0.468,51.5,5.253,50.0,1617814964.5496519,9.12
303,0.829,47.0,0.207,46.5,1617814965.5935798,3.762
304,0.945,47.0,0.0,47.5,1617814966.643948,3.862
305,0.48,49.0,3.52,48.5,1617814967.697332,6.84
306,0.359,49.5,4.027,49.0,1617814968.7465725,7.284
307,0.39,50.5,5.027,49.5,1617814969.8015609,8.988
308,0.363,49.5,3.588,49.0,1617814970.8445632,6.451
309,0.36,50.0,4.04,49.5,1617814971.8923922,7.24
310,0.396,51.0,4.793,50.0,1617814972.9418519,7.856
311,0.36,50.5,4.24,49.5,1617814973.9911623,7.24
312,0.872,47.5,0.0,48.0,1617814975.036053,3.4
313,0.646,49.0,2.495,49.0,1617814976.082057,6.038
314,0.359,50.0,4.106,49.0,1617814977.1316106,7.137
315,0.395,50.5,4.659,50.0,1617814978.179477,7.976
316,0.436,51.0,4.516,50.0,1617814979.229147,7.856
317,0.362,49.5,3.582,49.5,1617814980.2857769,6.601
318,0.32,51.0,4.2,49.5,1617814981.3331075,7.348
319,0.392,52.0,5.044,50.5,1617814982.3875508,9.057
320,1.558,49.0,0.205,48.0,1617814983.4378793,4.471
321,0.912,47.5,0.0,48.0,1617814984.4847739,3.596
322,0.359,50.0,3.428,49.0,1617814985.531429,7.068
323,0.319,51.5,4.219,50.0,1617814986.57985,7.364
324,0.356,52.0,4.691,50.5,1617814987.6342723,8.409
325,0.724,50.0,3.416,50.0,1617814988.6771896,6.631
326,0.36,50.5,3.913,50.0,1617814989.7245886,7.308
327,0.357,52.0,4.746,50.5,1617814990.7703567,8.068
