,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
176,0.885,42.5,0.12,41.0,1614746847.8268342,4.012
177,0.276,44.0,3.282,42.5,1614746848.8771756,6.486
178,0.315,45.0,3.988,44.0,1614746849.9332035,6.712
179,0.313,46.0,4.7,44.0,1614746850.9952912,8.029
180,0.674,45.0,3.134,43.5,1614746852.036888,5.991
181,0.276,44.5,3.79,43.5,1614746853.0902238,6.712
182,0.314,46.0,4.401,44.0,1614746854.1486685,7.426
183,0.314,45.5,4.283,44.0,1614746855.2079139,7.32
184,1.524,43.5,0.12,42.0,1614746856.2628663,4.52
185,0.841,43.5,1.121,42.5,1614746857.3099706,4.56
186,0.356,44.5,3.441,43.5,1614746858.360519,6.486
187,0.354,45.5,4.401,44.0,1614746859.41494,7.505
188,0.314,46.0,4.479,44.0,1614746860.4702103,7.505
189,0.355,44.5,3.164,43.5,1614746861.5238767,6.407
190,0.315,45.5,3.948,44.0,1614746862.5781033,6.791
191,0.275,46.5,4.479,44.5,1614746863.6418638,7.728
192,1.6,45.0,0.479,42.5,1614746864.6973367,4.72
193,0.807,42.5,0.0,44.0,1614746865.7457724,3.582
194,0.471,45.5,4.08,44.0,1614746866.8024306,7.387
195,0.315,46.0,3.869,43.5,1614746867.8475301,6.791
196,0.275,46.5,4.479,44.5,1614746868.8990533,7.387
197,1.47,44.5,2.103,44.0,1614746869.9438937,5.952
198,0.316,46.0,3.559,44.0,1614746870.993827,6.486
199,0.314,47.0,4.479,44.5,1614746872.0443563,7.505
200,0.314,47.5,4.479,45.0,1614746873.0931678,7.466
201,0.846,43.5,0.0,44.0,1614746874.1371074,3.225
202,1.76,44.0,0.12,42.5,1614746875.1855476,4.56
203,0.317,45.0,3.134,44.0,1614746876.2317562,6.031
204,0.314,47.0,4.59,45.0,1614746877.2791739,7.65
205,0.353,47.0,4.629,45.0,1614746878.3283918,7.728
206,0.315,47.0,4.329,45.0,1614746879.381947,7.32
207,0.355,46.5,3.869,44.5,1614746880.436703,6.899
208,0.314,46.5,4.472,45.0,1614746881.4869266,7.571
209,0.636,45.5,2.189,44.0,1614746882.5426104,5.413
210,0.806,43.5,0.161,43.0,1614746883.5873578,3.346
211,0.513,46.5,3.469,45.0,1614746884.6406615,7.242
212,0.315,47.0,3.948,45.0,1614746885.6941648,6.752
213,0.314,47.5,4.479,45.5,1614746886.7436209,7.466
214,0.355,47.5,4.021,45.0,1614746887.7966864,6.859
215,0.357,46.5,3.367,45.0,1614746888.8468077,6.11
216,0.393,47.5,4.44,45.5,1614746889.892786,7.426
217,0.313,47.5,4.7,45.5,1614746890.9428034,7.951
218,0.885,44.5,0.161,43.5,1614746891.9908545,3.582
219,0.806,44.0,0.04,43.0,1614746893.0416172,3.542
220,0.316,45.5,3.322,45.0,1614746894.0932662,6.367
221,0.315,47.0,3.942,45.0,1614746895.142286,6.938
222,0.273,47.5,4.84,46.0,1614746896.1976693,8.574
223,0.278,46.0,3.253,45.0,1614746897.258156,5.991
224,0.394,47.0,3.784,45.5,1614746898.3077657,6.87
225,0.314,47.5,4.479,46.0,1614746899.3633668,7.544
226,0.315,48.0,3.981,46.0,1614746900.4115765,6.859
227,0.766,44.5,0.161,43.5,1614746901.4538114,3.582
228,0.515,46.5,3.282,45.5,1614746902.5007267,6.446
229,0.434,47.5,3.745,45.5,1614746903.5466564,6.831
230,0.314,48.0,4.59,46.0,1614746904.5961494,7.65
231,0.315,47.5,3.981,46.0,1614746905.6491497,6.899
232,0.316,46.5,3.406,45.5,1614746906.695792,6.18
233,0.551,48.0,3.863,46.0,1614746907.7386696,6.978
234,0.351,48.5,4.872,46.5,1614746908.798564,8.471
235,1.243,45.5,0.16,44.5,1614746909.8435063,3.938
236,0.726,45.0,0.08,43.5,1614746910.8855674,3.225
237,0.317,47.5,3.327,45.5,1614746911.934974,6.18
238,0.315,48.5,3.948,46.0,1614746912.9830492,6.831
239,0.391,49.0,4.84,46.5,1614746914.035296,8.354
240,0.476,47.0,3.333,46.0,1614746915.0760443,5.952
241,0.315,48.0,3.909,46.0,1614746916.1290822,6.752
242,0.353,48.5,4.59,46.5,1614746917.1764421,7.65
243,0.354,48.5,4.211,46.0,1614746918.2278042,7.017
244,0.725,45.0,0.282,44.0,1614746919.2698727,3.462
245,0.88,46.0,1.32,45.0,1614746920.3083282,4.792
246,0.355,47.5,3.599,46.0,1614746921.3581138,6.565
247,0.392,49.0,4.401,46.5,1614746922.4006171,7.584
248,0.314,49.0,4.55,47.0,1614746923.4532757,7.611
249,0.355,47.0,3.198,46.5,1614746924.5035384,6.565
250,0.355,48.0,3.988,46.0,1614746925.5535953,6.791
251,0.353,49.5,4.597,46.5,1614746926.6099837,7.505
252,1.594,46.5,0.559,45.5,1614746927.666821,5.103
253,0.966,45.5,0.04,44.0,1614746928.7096074,3.346
254,0.393,48.0,4.047,46.5,1614746929.7624776,7.32
255,0.355,48.5,3.909,46.5,1614746930.806889,6.831
256,0.314,49.5,4.558,47.0,1614746931.8542407,7.466
257,1.987,48.0,1.154,46.0,1614746932.899585,5.254
258,0.317,48.5,3.367,46.5,1614746933.9457319,6.1
259,0.314,49.0,4.558,47.5,1614746934.999457,7.466
260,0.314,49.5,4.597,47.5,1614746936.0596542,7.544
261,1.004,46.5,0.442,45.5,1614746937.1090684,4.093
262,2.08,46.5,0.08,44.5,1614746938.1574197,4.52
263,0.357,48.5,3.01,46.5,1614746939.2079403,6.18
264,0.392,50.0,4.55,47.5,1614746940.2588694,7.611
265,0.313,50.0,4.747,47.5,1614746941.3125648,7.767
266,0.354,49.0,4.519,47.5,1614746942.3680418,7.32
267,0.355,49.5,3.902,47.0,1614746943.413064,6.859
268,0.392,50.0,4.322,47.5,1614746944.4560158,7.505
269,0.597,47.5,2.272,46.5,1614746945.5024407,5.023
270,0.846,46.0,0.08,44.5,1614746946.5457287,3.306
271,1.261,48.0,3.266,47.0,1614746947.590635,7.202
272,0.315,49.0,3.83,47.5,1614746948.6416292,6.899
273,0.314,49.5,4.558,47.5,1614746949.691985,7.544
274,0.315,49.5,3.902,47.5,1614746950.747448,6.859
275,0.316,48.0,3.367,47.0,1614746951.797191,6.219
